"question_id","sample_id","attempt_index","is_correct","tokenized_trace"
"0","0","0","False","analyze | apply-formula | apply-formula | compute | derive-intermediate | simplify | conclude"
"0","1","1","False","analyze | apply-formula | apply-formula | compute | derive-intermediate | simplify | conclude"
"0","2","4","False","analyze | apply-formula | apply-formula | compute | derive-intermediate | simplify | conclude"
"0","3","3","False","analyze | guess"
"0","4","5","False","analyze | apply-formula | compute | check-constraint | derive-intermediate | simplify | conclude"
"0","5","8","False","analyze | apply-formula | guess | compute | simplify | conclude"
"0","6","6","False","analyze | apply-formula | guess"
"0","7","9","False","analyze | apply-formula | guess | compute | conclude"
"0","8","11","False","guess"
"0","9","12","False","analyze | apply-formula | guess | compute | simplify | conclude"
"0","10","13","False","analyze | apply-formula | compute | derive-intermediate | simplify | conclude"
"0","11","14","False","analyze | apply-formula | compute | guess"
"0","12","16","False","analyze | apply-formula | compute | derive-intermediate | simplify | conclude"
"0","13","17","False","analyze | apply-formula | compute | simplify | conclude"
"0","14","19","False","analyze | guess"
"0","15","20","False","analyze | apply-formula | compute"
"0","16","21","False","analyze | apply-formula | compute | simplify | conclude"
"0","17","22","False","analyze | apply-formula | compute | guess"
"0","18","24","False","analyze | apply-formula | compute | simplify | conclude"
"0","19","23","False","guess"
"0","20","25","False","analyze | apply-formula | compute | simplify | conclude"
"0","21","26","False","analyze | apply-formula | compute | simplify | conclude"
"0","22","28","False","analyze | apply-formula | compute | guess | conclude"
"0","23","29","False","analyze | apply-formula | compute | simplify | conclude"
"0","24","30","True","analyze | apply-formula | compute | guess"
"0","25","31","False","analyze | guess"
"0","26","32","False","analyze | apply-formula | compute | simplify | conclude"
"0","27","33","False","analyze | apply-formula | compute | simplify | conclude"
"0","28","34","False","analyze | apply-formula | compute | guess"
"0","29","35","False","analyze | guess"
